word,frequency
i,8448.0
to,3588.0
the,2940.0
my,2663.0
and,2552.0
you,2478.0
so,2436.0
a,2278.0
me,1788.0
im,1553.0
is,1517.0
it,1442.0
but,1424.0
of,1264.0
this,1208.0
for,1154.0
in,1139.0
that,1036.0
love,999.0
miss,991.0
be,847.0
have,836.0
just,832.0
was,817.0
on,799.0
not,798.0
want,704.0
u,689.0
like,652.0
with,642.0
no,630.0
i'm,602.0
sad,602.0
get,598.0
are,583.0
too,560.0
at,555.0
much,549.0
really,537.0
all,535.0
sorry,525.0
dont,522.0
go,503.0
:-(,490.0
he,475.0
do,467.0
we,462.0
out,455.0
one,434.0
they,430.0
can,424.0
up,419.0
know,417.0
its,415.0
him,415.0
now,415.0
why,414.0
when,401.0
your,400.0
if,399.0
feel,381.0
wanna,370.0
see,370.0
what,364.0
how,352.0
them,350.0
good,334.0
about,334.0
wish,334.0
cute,325.0
hope,320.0
got,318.0
need,318.0
time,314.0
please,312.0
don't,311.0
still,305.0
more,304.0
oh,300.0
had,298.0
will,294.0
her,289.0
been,284.0
cant,281.0
from,281.0
back,276.0
his,263.0
she,258.0
baby,254.0
gonna,251.0
bad,249.0
&gt,249.0
day,244.0
going,243.0
today,243.0
only,241.0
someone,241.0
even,239.0
or,236.0
never,232.0
because,230.0
thank,227.0
think,223.0
it's,223.0
am,223.0
people,223.0
some,220.0
as,218.0
same,214.0
did,213.0
here,211.0
would,210.0
friends,207.0
could,204.0
there,202.0
an,199.0
make,197.0
come,187.0
again,183.0
omg,182.0
work,182.0
always,179.0
well,177.0
didnt,174.0
take,172.0
better,171.0
who,169.0
bc,168.0
heart,165.0
right,163.0
pls,163.0
last,162.0
has,160.0
can't,158.0
okay,157.0
hate,156.0
home,151.0
tomorrow,150.0
already,150.0
being,150.0
were,148.0
soon,147.0
over,144.0
ever,143.0
hes,143.0
-,142.0
then,142.0
youre,141.0
ill,141.0
look,140.0
left,139.0
ur,137.0
guys,136.0
stop,136.0
week,133.0
man,132.0
happy,132.0
new,131.0
watch,131.0
tonight,130.0
getting,130.0
best,130.0
their,125.0
help,124.0
live,123.0
since,123.0
where,122.0
thats,122.0
year,120.0
first,119.0
by,118.0
night,118.0
way,118.0
also,117.0
life,117.0
spades,117.0
unique,116.0
tickets,114.0
2,114.0
let,112.0
tho,112.0
ive,111.0
down,111.0
talk,110.0
us,110.0
than,109.0
rn,109.0
thing,109.0
though,109.0
3,108.0
ugh,107.0
next,107.0
damn,107.0
sleep,106.0
you're,105.0
didn't,105.0
say,105.0
find,105.0
little,104.0
missed,104.0
wanted,104.0
something,104.0
cry,104.0
poor,104.0
yeah,103.0
give,103.0
very,102.0
show,102.0
trying,102.0
video,102.0
any,101.0
everyone,101.0
makes,101.0
lot,101.0
made,100.0
idk,100.0
off,99.0
thought,99.0
girl,98.0
other,97.0
w,97.0
shit,96.0
hard,95.0
after,95.0
yes,95.0
friend,94.0
yet,94.0
god,92.0
days,92.0
na,92.0
actually,92.0
these,91.0
deserve,91.0
wait,90.0
play,90.0
doing,90.0
our,90.0
should,89.0
before,89.0
many,89.0
sucks,88.0
most,88.0
n,88.0
lol,87.0
house,87.0
wow,87.0
yall,85.0
i've,85.0
mean,84.0
that's,84.0
ok,84.0
said,83.0
havent,83.0
wont,83.0
soft,82.0
every,81.0
@bts_twt,81.0
anyone,81.0
such,80.0
does,80.0
tell,80.0
hi,80.0
keep,79.0
anything,79.0
i'll,79.0
saw,79.0
those,79.0
game,79.0
nice,78.0
pretty,78.0
morning,78.0
crying,78.0
great,78.0
try,78.0
maybe,78.0
looks,77.0
buy,77.0
anymore,77.0
having,77.0
seeing,76.0
fun,76.0
able,76.0
feeling,76.0
old,76.0
away,76.0
myself,75.0
follow,75.0
theyre,75.0
literally,75.0
two,75.0
things,74.0
aw,74.0
hurts,74.0
may,73.0
school,73.0
whole,73.0
long,73.0
fuck,73.0
money,73.0
went,73.0
missing,72.0
lost,71.0
boy,71.0
sick,71.0
hear,71.0
hours,70.0
he's,70.0
bts,70.0
iv,69.0
eat,69.0
fucking,69.0
:((((((,69.0
sweet,68.0
mom,68.0
hey,68.0
without,68.0
everything,68.0
big,68.0
true,67.0
watching,67.0
tired,67.0
hair,67.0
late,67.0
probably,66.0
care,65.0
doesnt,65.0
leave,65.0
meet,65.0
@youtube,65.0
person,63.0
beautiful,63.0
dm,63.0
ago,62.0
real,62.0
years,62.0
power,62.0
making,61.0
birthday,61.0
believe,61.0
hurt,61.0
nothing,60.0
both,60.0
phone,59.0
tried,59.0
into,59.0
through,59.0
liked,59.0
mine,58.0
bring,58.0
thanks,58.0
happened,58.0
another,57.0
hug,57.0
shes,57.0
update,57.0
1,56.0
family,56.0
while,55.0
use,55.0
found,55.0
enough,55.0
lmao,54.0
super,54.0
remember,54.0
used,54.0
twitter,54.0
end,54.0
bed,54.0
b,54.0
broke,54.0
cause,53.0
sure,53.0
stream,53.0
guess,53.0
t,52.0
&lt,52.0
done,52.0
world,52.0
looking,51.0
wrong,51.0
stay,51.0
tour,51.0
ate,51.0
band,51.0
they're,51.0
talking,51.0
tweet,51.0
dog,50.0
isnt,50.0
until,50.0
working,49.0
few,49.0
honestly,49.0
bitch,49.0
stuff,49.0
part,49.0
seen,49.0
:),49.0
alone,48.0
movie,48.0
face,48.0
dude,48.0
full,48.0
wtf,48.0
food,48.0
sadly,48.0
weekend,47.0
theres,47.0
kinda,47.0
ass,47.0
rest,47.0
gone,46.0
name,46.0
coming,46.0
mad,46.0
cat,46.0
far,46.0
lil,46.0
start,45.0
leaving,45.0
thinking,45.0
put,45.0
mutuals,45.0
summer,45.0
s,45.0
own,45.0
send,45.0
ily,45.0
sa,45.0
least,44.0
:-((,44.0
die,43.0
concert,43.0
gets,43.0
4,43.0
5,43.0
aww,43.0
mr,42.0
break,42.0
@,42.0
dad,42.0
sounds,42.0
upset,42.0
news,42.0
iii,42.0
y,42.0
wants,42.0
fan,42.0
doesn't,41.0
won't,41.0
girls,41.0
call,41.0
couldnt,41.0
post,40.0
win,40.0
came,40.0
bored,40.0
ask,40.0
hang,40.0
uwu,39.0
music,39.0
ppl,39.0
together,39.0
pain,39.0
told,39.0
knew,39.0
scared,38.0
took,38.0
place,38.0
weeks,38.0
sm,38.0
sakurai,38.0
sometimes,38.0
id,38.0
month,38.0
:(((((((,38.0
free,38.0
playing,38.0
parents,37.0
rlly,37.0
ready,37.0
haven't,37.0
amazing,37.0
war,37.0
mood,36.0
guy,36.0
might,36.0
luck,36.0
cutest,36.0
favorite,36.0
huhu,36.0
r,36.0
head,36.0
listen,36.0
pa,36.0
around,36.0
once,35.0
kids,35.0
boys,35.0
wasnt,35.0
close,35.0
must,35.0
asleep,35.0
worst,35.0
rip,35.0
saying,35.0
almost,35.0
hopefully,35.0
dead,34.0
boyfriend,34.0
waiting,34.0
song,34.0
bby,34.0
started,34.0
gotta,34.0
account,34.0
cream,34.0
read,34.0
hello,34.0
precious,34.0
annoying,34.0
season,33.0
instead,33.0
bit,33.0
hot,33.0
funny,33.0
voice,33.0
tbh,33.0
wake,33.0
car,33.0
forever,33.0
died,33.0
isn't,33.0
angel,33.0
sister,33.0
chance,33.0
boo,32.0
kind,32.0
babies,32.0
pero,32.0
sending,32.0
ivos,32.0
infinity,32.0
whats,32.0
there's,32.0
